iter	Logloss
0	0.6051545505
1	0.5343767779
2	0.4756583116
3	0.4263516677
4	0.3860791793
5	0.3542949242
6	0.3264799125
7	0.3072803353
8	0.2916530607
9	0.2750402375
10	0.2619023852
11	0.2496823401
12	0.239718737
13	0.2333960361
14	0.227423508
15	0.2209182308
16	0.2166281121
17	0.2116199465
18	0.2079039891
19	0.20437827
20	0.2015828509
21	0.1993708519
22	0.1970148334
23	0.1946737651
24	0.1929513913
25	0.1913555072
26	0.1899829337
27	0.1885154659
28	0.1873133295
29	0.1862025116
30	0.1854721348
31	0.1846262708
32	0.1839823403
33	0.183077063
34	0.1824861931
35	0.1821142798
36	0.181495244
37	0.1809043074
38	0.1805460395
39	0.1802041832
40	0.1797450478
41	0.1795576846
42	0.1792004178
43	0.1788509322
44	0.1786491177
45	0.1784101226
46	0.1781590352
47	0.177942402
48	0.1777247581
49	0.1775311933
50	0.1772676441
51	0.1770364067
52	0.1769403585
53	0.1766638764
54	0.1761636345
55	0.1758650901
56	0.1757015331
57	0.1755545662
58	0.1753574759
59	0.1752264188
60	0.1750794843
61	0.1749672672
62	0.1748430652
63	0.1746211335
64	0.1743625123
65	0.1742211925
66	0.1738598189
67	0.173772183
68	0.1733667688
69	0.1730092594
70	0.1728911186
71	0.172731609
72	0.1726120616
73	0.1724807972
74	0.1724255009
75	0.1723441488
76	0.1722526557
77	0.1720858487
78	0.1720162307
79	0.1718892933
80	0.1717770747
81	0.1715157084
82	0.1713950112
83	0.1713253285
84	0.1711627567
85	0.171074086
86	0.1710149322
87	0.1708219725
88	0.1707784107
89	0.170677576
90	0.1704825585
91	0.1704028407
92	0.1702782533
93	0.1701510102
94	0.1700653725
95	0.1700045093
96	0.1699658972
97	0.1697637095
98	0.1697328821
99	0.1695948053
100	0.1694925891
101	0.1693671262
102	0.1691298868
103	0.1690476031
104	0.1689646156
105	0.1689027646
106	0.1688901475
107	0.1688147773
108	0.1687427544
109	0.1686841388
110	0.1686170992
111	0.1684345014
112	0.1683530074
113	0.1682450429
114	0.1681872062
115	0.1680547467
116	0.1679740854
117	0.1678926174
118	0.1678443919
119	0.1677192017
120	0.1676681356
121	0.167619098
122	0.1675841527
123	0.1674778542
124	0.1673389637
125	0.1672992395
126	0.1672537917
127	0.1671906147
128	0.1670992724
129	0.1670491967
130	0.1670420739
131	0.1669175798
132	0.1668647212
133	0.1667996205
134	0.1667296293
135	0.1666640763
136	0.1666056306
137	0.1665586417
138	0.1664954988
139	0.1664531083
140	0.1664331524
141	0.1663439986
142	0.1663295935
143	0.1663096235
144	0.166258243
145	0.1661934649
146	0.1661311256
147	0.1660419957
148	0.1659703063
149	0.1658937988
150	0.165816139
151	0.1657542511
152	0.1656797553
153	0.1655995159
154	0.1655822394
155	0.1653991481
156	0.1653464257
157	0.1653017317
158	0.1652319521
159	0.165207079
160	0.1651732816
161	0.1651262649
162	0.1650503442
163	0.1650080177
164	0.1649635719
165	0.1649258214
166	0.1648855712
167	0.1648465113
168	0.1647712974
169	0.1647033327
170	0.1646405548
171	0.1646372489
172	0.164626956
173	0.1645867232
174	0.1645357271
175	0.1644607415
176	0.1644132537
177	0.1643702204
178	0.1643575366
179	0.1643110881
180	0.1642132878
181	0.1641588399
182	0.1641015223
183	0.1640784034
184	0.1639128141
185	0.1638525513
186	0.1637784318
187	0.1636331373
188	0.1635620132
189	0.1634312986
190	0.1633662651
191	0.1633300024
192	0.1633021662
193	0.163251454
194	0.1632487167
195	0.1632444237
196	0.1632349346
197	0.1632311995
198	0.16322266
199	0.1631537432
200	0.1630764365
201	0.1630632619
202	0.1630127457
203	0.1629130234
204	0.1628070123
205	0.1627761773
206	0.1627201923
207	0.1626414607
208	0.1626257378
209	0.1626073192
210	0.1625575191
211	0.1624915745
212	0.1624755071
213	0.162427101
214	0.1623811987
215	0.1623157583
216	0.162244996
217	0.1621997218
218	0.1621901893
219	0.162112237
220	0.1620501206
221	0.1620337274
222	0.1619871998
223	0.1619281685
224	0.1619113445
225	0.1618782023
226	0.1618312548
227	0.1618234738
228	0.1618174247
229	0.1617778057
230	0.1617696217
231	0.1616707721
232	0.1616163876
233	0.1615594879
234	0.1615576014
235	0.1615463328
236	0.1614790855
237	0.1614522156
238	0.1613933739
239	0.1613746935
240	0.1613337404
241	0.1612918051
242	0.1612390726
243	0.1611866137
244	0.1611500339
245	0.1611211877
246	0.1610697293
247	0.1610166098
248	0.1609917185
249	0.1609145251
250	0.1608464891
251	0.1607854654
252	0.1606970601
253	0.1606848131
254	0.1606297066
255	0.1605808513
256	0.1605403473
257	0.1604870438
258	0.1604685484
259	0.1604307271
260	0.1604009049
261	0.1603864633
262	0.1603213075
263	0.1602403325
264	0.1602319954
265	0.1602195976
266	0.1602074453
267	0.1601607817
268	0.1600982402
269	0.1600584821
270	0.1600130396
271	0.1599492937
272	0.1598744844
273	0.1598183073
274	0.1598117238
275	0.1597885783
276	0.1597699291
277	0.1597453872
278	0.1596936986
279	0.1596490019
280	0.1596404794
281	0.1596268709
282	0.159602445
283	0.1595916037
284	0.1595506023
285	0.1595106348
286	0.1594803079
287	0.1594715883
288	0.1594376251
289	0.1593658453
290	0.1593263719
291	0.1592907854
292	0.1592846372
293	0.1592384125
294	0.1591914424
295	0.1591457417
296	0.1590908419
297	0.1590380993
298	0.1590214982
299	0.1589606215
300	0.1589111719
301	0.1588691345
302	0.158823617
303	0.1587673143
304	0.1587288344
305	0.1586762577
306	0.1586416019
307	0.1586225486
308	0.1585921955
309	0.1585434348
310	0.1585061124
311	0.1584648137
312	0.1584525567
313	0.1584441913
314	0.1584159419
315	0.1583709818
316	0.1583260005
317	0.1582749489
